Column 1,category,rating,label,text_
8068,Electronics_Products,4,0,these pretti decent batteri price good
8069,Electronics_Products,5,0,i think 're work right i 've seen improv
8070,Electronics_Products,3,0,small n't last long price decent
8071,Electronics_Products,5,0,great product fit g skill trident rgb ram
8072,Electronics_Products,4,0,check box inexpens tv
8073,Electronics_Products,5,0,been use motherboard month without problem
8074,Electronics_Products,5,0,it work i expect
8075,Electronics_Products,1,0,stop work day ca n't recommend
8076,Electronics_Products,5,0,these cabl bulletproof top qualiti well made
8077,Electronics_Products,1,0,wast money stuff work advertis
8078,Electronics_Products,3,0,work fine bit slow load read cd 's
8079,Electronics_Products,5,0,fit spot scope tripod prefix good product
8080,Electronics_Products,5,0,fit kindl fire perfectli what great price
8081,Electronics_Products,3,0,it hard find signal n't static
8082,Electronics_Products,1,0,sent back .. qualiti i look
8083,Electronics_Products,3,0,it bit flimsi work part
8084,Electronics_Products,5,1,still work great littl disappoint sound qualiti complaint
8085,Electronics_Products,5,1,these work great would recommend itemgreat product veri good quality.nic littl speaker work great
8086,Electronics_Products,5,1,excel product ha alreadi use amazon review also 's use
8087,Electronics_Products,5,1,best radio i ever own the qualiti amaz the reason i gave
8088,Electronics_Products,5,1,work even though specs.work great.nic littl speaker work great
8089,Electronics_Products,5,1,you get pay the qualiti good 's great.veri nice
8090,Electronics_Products,5,1,rail rail-i i n't know i n't make purchas
8091,Electronics_Products,5,1,i love go gym tri figur fix problem
8092,Electronics_Products,1,1,thi screen protector is smaller and doe not caus a turn on
8093,Electronics_Products,5,1,qualiti good purchas need extern hdd computer.thi great
8094,Electronics_Products,5,1,good 150-600 snug fit materi i keep
8095,Electronics_Products,5,1,great backpack my son love materi good he love way
8096,Electronics_Products,5,1,thi amaz work amaz not huge fan static work
8097,Electronics_Products,5,1,use trip work fine i keep review order share
8098,Electronics_Products,5,1,realli good pretti snug back cord thick enough make hard slide
8099,Electronics_Products,5,1,work ad 3rd parti transmitt well 4th parti transmitt
8100,Electronics_Products,5,1,these best wireless speaker i ever use i keep review coupl month
8101,Electronics_Products,5,1,one favorit sandisk card the problem come hard drive
8102,Electronics_Products,4,1,love littl bag wife love she also love fact
8103,Electronics_Products,5,1,perfect size rug not easi case break fit ipad perfectli
8104,Electronics_Products,4,1,sound great price 's excel valu money
8105,Electronics_Products,5,1,lost guy n't work phone if larger speaker
8106,Electronics_Products,5,1,cheap quiet ..... need great sound price i
8107,Electronics_Products,4,1,i n't like charger i n't like fact 's
8108,Electronics_Products,3,1,alot cool piec but 's comfort fit if
8109,Electronics_Products,5,1,good speaker bought replac one i bought i keep soni collect
8110,Electronics_Products,4,1,great price work well control volum volum control work great
8111,Electronics_Products,4,1,packag well come necessari adapt the includ adapt come small screw
8112,Electronics_Products,5,1,sturdi solid plenti room camera i also love 's power
8113,Electronics_Products,5,1,fantast year later still work fine i keep
8114,Electronics_Products,3,1,it ok qualiti good len
8115,Electronics_Products,5,1,nice step ring feel sturdi i keep eye peel
8116,Electronics_Products,5,1,work perfect mayb littl bulki work if larger
8117,Electronics_Products,5,1,work great side panel the problem 's realli stereo
8118,Electronics_Products,5,1,hey twenti buck ca n't go wrong materi good qualiti outstand
8119,Electronics_Products,5,1,veri sturdi perfect cover bulki len protect case the reason i gave
8120,Electronics_Products,5,1,my son use coupl year held well i one broken
8121,Electronics_Products,5,1,awesom littl flash drive hold entir hd movi i also love 's power
8122,Electronics_Products,4,0,fit nice front plastic sometim come upon impact
8123,Electronics_Products,5,0,my second one hope good first
8124,Electronics_Products,1,0,did work samsung galaxi s3 had return
8125,Electronics_Products,5,0,absolut awesom mic i make hundr video awesom plea bye
8126,Electronics_Products,4,0,good product setup littl difficult sound tinni
8127,Electronics_Products,5,0,bought ago still go great
8128,Electronics_Products,5,0,love use anyth touch-screen activ kindl iphon comput
8129,Electronics_Products,3,0,gift return bought one
8130,Electronics_Products,5,0,hit spot need fan header stabl perform
8131,Electronics_Products,5,0,surpris still around glad gotten
8132,Electronics_Products,2,0,it 's friendli get pay
8133,Electronics_Products,4,0,fit look great have difficulti touch screen corner though
8134,Electronics_Products,5,0,doe job i plant mine look pretti awesom
8135,Electronics_Products,1,0,did work ineffect poor design horribl instruct
8136,Electronics_Products,5,0,like everyth brush cheap fell apart
8137,Electronics_Products,5,0,ident oem replac hp envi laptop work perfect
8138,Electronics_Products,5,0,veri soft wear hour without irrit
8139,Electronics_Products,5,0,ship fast work hp 15-f111dx notebook problem
8140,Electronics_Products,5,0,i 'll look anker product next time i need hub
8141,Electronics_Products,4,0,they claim end stori
8142,Electronics_Products,5,0,i love screen amaz program open instantan
8143,Electronics_Products,5,0,great sound great microphon connect problem excel batteri life
8144,Electronics_Products,4,0,i quit time work great
8145,Electronics_Products,5,0,they work better expect good valu qualiti
8146,Electronics_Products,5,0,wow littl fan move air well realli quit
8147,Electronics_Products,5,0,veri pretti offer great protect my son love
8148,Electronics_Products,5,0,great sound hold charg well definit would recommend
8149,Electronics_Products,5,0,great binocular .... small enough carri purs great view
8150,Electronics_Products,5,0,work great i abl use old monitor still
8151,Electronics_Products,5,0,i drove mile hour and stay
8152,Electronics_Products,5,0,nice fit safe rubberi feel larg
8153,Electronics_Products,4,0,thi right one old model soni camcord
8154,Electronics_Products,4,0,solid well made stand bought anoth one wife
8155,Electronics_Products,5,0,just replac old one no hole screw
8156,Electronics_Products,5,0,item describ appear good qualiti
8157,Electronics_Products,4,0,problem far custom servic great
8158,Electronics_Products,5,0,great mous durabl fast function need
8159,Electronics_Products,5,0,put music use truck work great
8160,Electronics_Products,1,1,did n't work foscam the way fix use
8161,Electronics_Products,5,1,veri good it wa veri good the problem doesnt turn screen
8162,Electronics_Products,5,1,it transfer data via cabl capabl connect comput connect
8163,Electronics_Products,5,1,veri easi instal use the problem take littl get use
8164,Electronics_Products,5,1,happi product use daily.great product veri good quality.nic littl speaker work
8165,Electronics_Products,5,1,insert photographi equip the problem 's realli stereo
8166,Electronics_Products,4,1,just fast one i bought i 'm sure i would purchas
8167,Electronics_Products,4,1,ok slower larger one the problem 's realli stereo
8168,Electronics_Products,5,1,great headset anyon budget except larg head
8169,Electronics_Products,2,1,i return item buy anoth one if larger head
8170,Electronics_Products,5,1,it realli help light whole room i also love 's power
8171,Electronics_Products,5,1,second one i buy ... they littl pricey i keep next one
8172,Electronics_Products,4,1,nice fit well construct not bulki comfort also extern hard
8173,Electronics_Products,5,1,it convert ac dc .. not easi task i comput
8174,Electronics_Products,5,1,great cam setup insid the problem take forev connect
8175,Electronics_Products,4,1,reorder time 's comfort fit i larg one
8176,Electronics_Products,5,1,ton space nice interfac sound good speaker
8177,Electronics_Products,3,1,not favorit sound money good enough the downsid
8178,Electronics_Products,3,1,ok speaker proper materi i recommend speaker anyon
8179,Electronics_Products,5,1,excel bouth one best 've ever use
8180,Electronics_Products,5,1,excel option it work well the problem take get use
8181,Electronics_Products,5,1,i cell phone job if larger speaker
8182,Electronics_Products,5,1,stand realli high qualiti the problem 's kind hard hold
8183,Electronics_Products,2,1,feel apart quickli use thing i like screen
8184,Electronics_Products,5,1,outstand leather sleev i-pad i-pad mac
8185,Electronics_Products,5,1,i use hold ipod ipod nano the reason i gave
8186,Electronics_Products,5,1,love get great recept it 's inexpens good len
8187,Electronics_Products,5,1,a bit smaller canon eo rebel t4i still fit canon eo rebel
8188,Electronics_Products,3,1,one button broke case good indic the downsid
8189,Electronics_Products,3,1,nice sceneri idea web the problem 's realli screen protector
8190,Electronics_Products,3,1,each charger last month batteri good enough charg kindl fire
8191,Electronics_Products,5,1,work great smooth floor i love feel metal around edg
8192,Electronics_Products,5,1,i love earphon they qualiti sound lot brand
8193,Electronics_Products,5,1,work perfectli better way set extern hdd if sata
8194,Electronics_Products,5,1,a great littl case everyth look great materi good i
8195,Electronics_Products,5,0,excel ssd htpc super fast great buy
8196,Electronics_Products,5,0,fit perfect no issu complaint good qualiti doe n't dissapoint
8197,Electronics_Products,5,0,work great pc dedic karaok theater system
8198,Electronics_Products,5,0,veri good long comput bluetooth higher ...
8199,Electronics_Products,5,0,thi exactli i look nice color good case
8200,Electronics_Products,4,0,good basic case pretti good stand capabl price rang
8201,Electronics_Products,5,0,great light super bright color rate damn near perfect
8202,Electronics_Products,2,0,bad amp could better output mediocr best
8203,Electronics_Products,5,0,veri happi adapt easi set good rang
8204,Electronics_Products,5,0,no problem far they check good batteri checker
8205,Electronics_Products,5,0,thi nice littl case i love owl
8206,Electronics_Products,2,0,the first set dead deliveri second work
8207,Electronics_Products,1,0,the headphon arriv left speaker broken left side complet dead
8208,Electronics_Products,4,0,i like well doen preset button
8209,Electronics_Products,5,0,a simpl cabl just i look work fine
8210,Electronics_Products,5,0,got gift son 's phone well made great protect
8211,Electronics_Products,5,0,got origin appl smart cover client she love
8212,Electronics_Products,5,0,i love jbl flip3 good sound good bass i buy
8213,Electronics_Products,5,0,work advertis great speed take video nikon dslr
8214,Electronics_Products,5,0,work great faster use see
8215,Electronics_Products,5,0,great product put first build i 'm plea result
8216,Electronics_Products,5,0,work fine seem help keep laptop littl cooler
8217,Electronics_Products,5,0,best usb drive solid tough fast reliabl beauti design
8218,Electronics_Products,3,0,fault bought wrong thing product probabl good
8219,Electronics_Products,4,0,i 'm partial garmin gp product ... great road
8220,Electronics_Products,5,0,perfect simpl remot control tv dvd roku unbeat valu
8221,Electronics_Products,1,0,stop work le year do n't wast money
8222,Electronics_Products,5,0,great product perfect size fore guest bed room good price
8223,Electronics_Products,5,0,thi cabl realli make connect nice thick
8224,Electronics_Products,5,0,veri easi instal seem work well dragon natur speak
8225,Electronics_Products,5,0,reali love did wat say much
8226,Electronics_Products,5,0,it month still work like champ
8227,Electronics_Products,4,0,great i wish could roll entir wire
8228,Electronics_Products,3,0,had pull one end littl bit make connect
8229,Electronics_Products,5,0,get warm plug multipl devic otherwis work great
8230,Electronics_Products,5,1,nice product money i love feel len the thing
8231,Electronics_Products,5,1,brilliant much smaller one i bought i also love
8232,Electronics_Products,5,1,love it. of thing i love sound speaker 's
8233,Electronics_Products,5,1,fabul easi set easi use i keep ipad bag
8234,Electronics_Products,2,1,n't quit sit flat tabl work perfectli i got one
8235,Electronics_Products,5,1,work like adapt came camera i also love 's one
8236,Electronics_Products,3,1,arriv time well poackag i love materi construct
8237,Electronics_Products,1,1,the speaker do not fit my ipod the speaker do not fit my ipod the speaker do
8238,Electronics_Products,5,1,say great product price
8239,Electronics_Products,5,1,great system easi instal qualiti boot the reason i gave
8240,Electronics_Products,5,1,need tight fit the problem small desk
8241,Electronics_Products,5,1,work great control raspberri pi the problem 's
8242,Electronics_Products,5,1,nice sound easi instal qualiti good the reason i gave
8243,Electronics_Products,5,1,fit like glove i use make acoust speaker friend
8244,Electronics_Products,2,1,the left channel went right channel went the reason i order
8245,Electronics_Products,5,1,current support 65inch curv display the problem 's inch one
8246,Electronics_Products,5,1,use wireless router the problem 's realli router
8247,Electronics_Products,5,1,can differ profession qualiti product work great nice littl speaker
8248,Electronics_Products,5,1,fantast devic work perfectli i love feel button
8249,Electronics_Products,5,1,veri good i use macbook pro i also love 's use
8250,Electronics_Products,5,1,veri cool no wire not issu sound the reason i
8251,Electronics_Products,1,1,worth money i expected.worst item world price
8252,Electronics_Products,5,1,nice product the sealer littl wide tight like i
8253,Electronics_Products,5,1,receiv packag ahead schedul i love materi the zipper littl loo
8254,Electronics_Products,5,1,perfect fit laptop feel good comfort the reason i gave
8255,Electronics_Products,5,1,great grill would buy great product veri good qualiti
8256,Electronics_Products,5,1,love track ball they qualiti trackbal they solid
8257,Electronics_Products,4,1,receiv product expect not easi case put well made
8258,Electronics_Products,5,1,hard set i system run i updat review i find
8259,Electronics_Products,5,1,everyth describ no smell odor odor i keep next
8260,Electronics_Products,5,1,thi batteri work well qualiti good charger
8261,Electronics_Products,5,1,wow .. what bang buck the qualiti amaz the reason i gave
8262,Electronics_Products,5,1,make wall look nice qualiti the reason i gave
8263,Electronics_Products,4,1,good box connect termin nice the problem come small screwdriv
8264,Electronics_Products,5,0,build qualiti nice everyth need build
8265,Electronics_Products,5,0,fantast sound clariti littl speaker bluetooth work great
8266,Electronics_Products,5,0,amaz microchip i take go pro everywher qualiti awesom
8267,Electronics_Products,5,0,ship quick look good work advertis amazon alway come thru.
8268,Electronics_Products,4,0,veri nice len use rang 10-18 canon aps-c sensor
8269,Electronics_Products,5,0,realli clean desktop elimin long cabl work perfectli
8270,Electronics_Products,5,0,work wonder switch quickli flawlessli extra devic
8271,Electronics_Products,5,0,excel tv bright color best read mkv file usb
8272,Electronics_Products,5,0,small easi carri brief case macbook pro
8273,Electronics_Products,5,0,exactli i need list and great price
8274,Electronics_Products,5,0,love multi region dvd player order least two
8275,Electronics_Products,5,0,work cat5 i 'm glad also ir extend
8276,Electronics_Products,4,0,good qualiti product i mostli transfer file 1gb le
8277,Electronics_Products,4,0,high qualiti case it heavier side qualiti nice
8278,Electronics_Products,4,0,not substanti i would select adequ job
8279,Electronics_Products,1,0,work like champ love think get third
8280,Electronics_Products,3,0,work pretti good n't cost much old comput
8281,Electronics_Products,3,0,great product great price you also use raspberri pi
8282,Electronics_Products,5,0,my year daughter beg
8283,Electronics_Products,4,0,need littl judici sand smooth mold spot work fine
8284,Electronics_Products,5,0,s great usb extens hand work well far
8285,Electronics_Products,4,0,great fit excel sound would prefer thicker durabl sound cabl
8286,Electronics_Products,5,0,qualiti build .. newer sigma lens known .snappi focus .. nice walkabout len
8287,Electronics_Products,5,0,everyth includ work advertis much better use flashdriv dvd
8288,Electronics_Products,5,0,awesom rock solid storag use video footag
8289,Electronics_Products,1,0,did n't fit chevrolet blazer s10 even said would
8290,Electronics_Products,1,0,they fit way tight hurt ear return receiv refund
8291,Electronics_Products,5,0,just need finish secur project good deliveri good price
8292,Electronics_Products,5,0,fantast product great fast deliveri qualiti perfect deliveri
8293,Electronics_Products,5,0,solid plastic cheap price work well flash led light panel
8294,Electronics_Products,5,0,great router easi set use realli help whole network
8295,Electronics_Products,1,0,firmwar problem fix solut new firmwar
8296,Electronics_Products,5,0,quit lot power i hope last long time
8297,Electronics_Products,5,0,thi work nice i n't connect issu far
8298,Electronics_Products,5,1,much better perform old one except minor bump bass respons
8299,Electronics_Products,4,1,initi ad said came ac adapt i need i use
8300,Electronics_Products,5,1,great save compar 200+ ship cost.work great.nic littl speaker work great
8301,Electronics_Products,5,1,tri bunch n't work the one work lot slow motion blur
8302,Electronics_Products,3,1,not fast i expect the problem 's realli stereo
8303,Electronics_Products,5,1,pain get i plea the downsid
8304,Electronics_Products,5,1,just describ order work fine also 's
8305,Electronics_Products,5,1,simpl yet effect ha everyth i need price right i
8306,Electronics_Products,5,1,no brainier want profession sound sub i admit i use
8307,Electronics_Products,3,1,anoth foot two would n't go far enough not sure 's screen
8308,Electronics_Products,4,1,good kid laptop qualiti the reason i gave
8309,Electronics_Products,5,1,great travel sometim i need not big small fit
8310,Electronics_Products,5,1,my wife use time love if larger head
8311,Electronics_Products,5,1,doe say mic qualiti sound good if full
8312,Electronics_Products,5,1,work great raspberri pi the problem doesnt turn screen
8313,Electronics_Products,1,1,the product instal properli the way fix instal driver instal
8314,Electronics_Products,5,1,have ad product wishlist i 've also purchas local store
8315,Electronics_Products,5,1,thi devic allow use ipad touch finger i
8316,Electronics_Products,5,1,pricey work fit perfect the problem 's realli stereo
8317,Electronics_Products,5,1,work debian linux box i 've instal mac
8318,Electronics_Products,3,1,screen fine good luck it 's inexpens good len
8319,Electronics_Products,5,1,great product perfect price the problem doesnt turn screen
8320,Electronics_Products,5,1,so far good work great the problem 's realli stereo
8321,Electronics_Products,5,1,work great right box thing i n't like screen protector
8322,Electronics_Products,4,1,a great camera the share function nice it littl noisi noisi
8323,Electronics_Products,5,1,great cheap use feel like love i one
8324,Electronics_Products,5,1,great product price i love feel len the thing
8325,Electronics_Products,3,1,the display could better i n't know but i 'm sure
8326,Electronics_Products,3,1,batteri life approxim 4hour i ipod touch 2nd gen
8327,Electronics_Products,1,1,did fit ipad long i return product
8328,Electronics_Products,5,1,easi clean connect did n't crowd speaker overal good purchas
8329,Electronics_Products,4,1,do n't use much qualiti sound lot headphon
8330,Electronics_Products,5,0,much durabl correspond appl case fraction price
8331,Electronics_Products,1,0,camera garbag good review fake old chine trick n't fli anymor
8332,Electronics_Products,1,0,so cheapli made n't even worth ur phone
8333,Electronics_Products,5,0,quick easi perform upgrad great price would recommend other
8334,Electronics_Products,5,0,fast ship screen protector came instal kit easi put devic
8335,Electronics_Products,5,0,i use sparin proctector never problem
8336,Electronics_Products,1,0,seem sturdi enough led usb port stop work month
8337,Electronics_Products,5,0,great product work excel medium player fast smooth great qualiti servic
8338,Electronics_Products,5,0,great replac fail one i run four monitor two graphic card
8339,Electronics_Products,5,0,great product price except do n't wait ... buy thing you disappoint
8340,Electronics_Products,3,0,ipad mini keyboard would stay connect i return
8341,Electronics_Products,5,0,i 'm plea purchas would definit recommend product other
8342,Electronics_Products,5,0,thi mount easi instal it inch tv ..
8343,Electronics_Products,5,0,flow meter excel n't use thermomet glove nice uv light
8344,Electronics_Products,5,0,no complaint exactli pin tight loo connect
8345,Electronics_Products,2,0,thi speaker stop work n't turn i 'm return
8346,Electronics_Products,5,0,compact fit devic snuggli n't worri lose
8347,Electronics_Products,5,0,i like black white well differ size choic
8348,Electronics_Products,3,0,work half time support appl product either
8349,Electronics_Products,5,0,i super love ... sound great phone convers clear
8350,Electronics_Products,5,0,star function big purpos veri nice case though
8351,Electronics_Products,5,0,awesom sound price bought wife kid
8352,Electronics_Products,5,0,we got son leap pad love
8353,Electronics_Products,2,0,when zoom way see hood photo
8354,Electronics_Products,4,0,doe trick noth fanci for price ca n't beat
8355,Electronics_Products,4,0,sd card good price el say
8356,Electronics_Products,3,0,did n't get mile rang work ok mile
8357,Electronics_Products,5,0,thi thing total worth money sound great loud easi set-up
8358,Electronics_Products,5,0,good product good price like
8359,Electronics_Products,5,0,i total impress work great wifi wireless ... i plea
8360,Electronics_Products,1,0,terribl sound last week '' wast money one
8361,Electronics_Products,4,0,it coupl hiccup work way better anyth el i 've tri
8362,Electronics_Products,3,1,work fine n't use extern drive if sata
8363,Electronics_Products,5,1,these excel product i use work gym these work well
8364,Electronics_Products,5,1,my laptop charg short time i n't need charg everi time
8365,Electronics_Products,5,1,my favorit keyboard a close i get good one nice littl speaker
8366,Electronics_Products,5,1,thi 2nd purchas len i 've coupl year
8367,Electronics_Products,5,1,doe design work if larger head
8368,Electronics_Products,3,1,great sound small not issu sound the reason i
8369,Electronics_Products,5,1,use vacat work fine i keep eye peel next
8370,Electronics_Products,5,1,i bought eyepiec work fine i keep eye peel
8371,Electronics_Products,5,1,i n't see differ two the two similar way
8372,Electronics_Products,5,1,the backpack i need materi good enough the downsid
8373,Electronics_Products,5,1,run retropi lightweight raspbian it work fine instruct littl
8374,Electronics_Products,5,1,good coupl well i keep batteri order use
8375,Electronics_Products,5,1,these adapt must wide varieti usb devic the downsid
8376,Electronics_Products,5,1,thi fantast prime len the wide angl good enough make differ photo
8377,Electronics_Products,5,1,so much anyth store hard drive hard drive hard drive
8378,Electronics_Products,4,1,sound great the extra star case littl larg if larger
8379,Electronics_Products,5,1,thi great product i love feel len the thing
8380,Electronics_Products,5,1,nice tight fit simpl effect great sound price
8381,Electronics_Products,5,1,doe claim the problem 's realli stereo
8382,Electronics_Products,5,1,my son love use stylu materi good i
8383,Electronics_Products,4,1,thi fine my complaint cord short i would recommend
8384,Electronics_Products,4,1,sound clariti good contrast ratio good the reason i gave
8385,Electronics_Products,1,1,ca n't updat map zero custom support the reason i gave star
8386,Electronics_Products,5,1,seem work fine the drawback i power suppli littl short
8387,Electronics_Products,4,1,work like bose speaker the differ bose speaker larger
8388,Electronics_Products,1,1,it seem like glass littl thick i admit 's littl
8389,Electronics_Products,1,1,thi thing poor instruct i n't know peopl need make comput manual
8390,Electronics_Products,5,1,bought compliment ipad air the fit nice cover solid
8391,Electronics_Products,4,1,a+ product i use watch movi laptop when i turn
8392,Electronics_Products,5,0,work great honda element seem nice secur easi use
8393,Electronics_Products,5,0,have n't long doubt ive even slightli test limit yet xd
8394,Electronics_Products,3,0,not said fit samsung galaxi s6 edg plu state
8395,Electronics_Products,4,0,not easiest protector instal 's 'll bare know 's
8396,Electronics_Products,3,0,did correctli fit '' screen if fit i would kept
8397,Electronics_Products,5,0,wa great cord long last it work
8398,Electronics_Products,4,0,work well hurt ear hour use downsid
8399,Electronics_Products,4,0,had get driver onlin link work like charm
8400,Electronics_Products,5,0,love flimsi leg remot work day
8401,Electronics_Products,5,0,kind chunki great protect great look extrem function i highli recommend
8402,Electronics_Products,3,0,work advertis it 's littl small feel fragil get job done
8403,Electronics_Products,5,0,fit desk great sound poor speaker
8404,Electronics_Products,5,0,easi instal work perfectli extend rang wireless connect foot
8405,Electronics_Products,5,0,work great ps4 i would strongli recommend work great still month later
8406,Electronics_Products,5,0,excel product charg batteri quickli fit perfect work stock batteri
8407,Electronics_Products,5,0,easi set work good better tivo control
8408,Electronics_Products,5,0,work realli good keep usb 3.0 fast mean real usb 3.0 cabl
8409,Electronics_Products,5,0,bought adapt go extra charg cabl work well samsung cabl
8410,Electronics_Products,3,0,it work fine cap stay well east lose
8411,Electronics_Products,3,0,oop make sure buy right stylu right version note
8412,Electronics_Products,5,0,great love differ one especi loss one
8413,Electronics_Products,1,0,right side head phone stop work ear bud keep fall
8414,Electronics_Products,5,0,make sure buy display port cabl monitor come
8415,Electronics_Products,5,0,these keep earbud place it would nice offer clear/whit one
8416,Electronics_Products,5,0,great motherboard stabl rock run amd fx 4.4ghz stock vcore never freeze/error
8417,Electronics_Products,2,0,it work hour die replac differ power brick
8418,Electronics_Products,4,0,the heavi duti batteri make hand held radio run longer option enabl
8419,Electronics_Products,2,0,basic enough soo light would know noth built
8420,Electronics_Products,4,0,a lot nice piec come handi 're get best shot
8421,Electronics_Products,5,0,everyth smooth silk transact ... deliveri ... product well made job
8422,Electronics_Products,5,1,fit perfect look neat not bulki nice my complaint
8423,Electronics_Products,4,1,thi work mani year the problem 's realli stereo
8424,Electronics_Products,2,1,got nov thing i like screen
8425,Electronics_Products,5,1,i mani gp devic year first one i use
8426,Electronics_Products,5,1,work great hold tight the drawback i see 's kind hard hold
8427,Electronics_Products,5,1,complet waterproof great sound look great it great product price
8428,Electronics_Products,5,1,i two issu i keep review coupl month
8429,Electronics_Products,5,1,have use 3-4 day job if
8430,Electronics_Products,4,1,work well i 'd hope the problem 's realli stereo
8431,Electronics_Products,4,1,cheap easi use the problem take littl get use
8432,Electronics_Products,5,1,love fun put look great if larger
8433,Electronics_Products,5,1,i need bag wife love she also love fact
8434,Electronics_Products,5,1,work well enclosur i extern hdd gb one
8435,Electronics_Products,2,1,thre one go the problem 's kind hard find
8436,Electronics_Products,1,1,return item item would work coupl week
8437,Electronics_Products,5,1,it work simpl look pictur see made strong
8438,Electronics_Products,5,1,i use alot never issu if larger head
8439,Electronics_Products,5,1,a advertis new nice set speaker i keep review coupl
8440,Electronics_Products,5,1,no frill wa perfect fit laptop.veri good quality.nic littl speaker
8441,Electronics_Products,5,1,quiet good airflow love work great advertis
8442,Electronics_Products,4,1,thi drive instal wd t3 drive i need hard drive
8443,Electronics_Products,4,1,decent qualiti look good look good buy work great
8444,Electronics_Products,4,1,direct confus set the way set use one
8445,Electronics_Products,5,1,a moder size surg protector the problem 's small desk
8446,Electronics_Products,5,1,work great nice size qualiti i keep ipad one
8447,Electronics_Products,5,1,great upgrad macbook pro addit 64gb drive
8448,Electronics_Products,5,1,it 's good and i not in-cabin the reason i gave
8449,Electronics_Products,5,1,fantast sound speaker the problem 's realli stereo
8450,Electronics_Products,4,1,bad money i love feel len the zoom awesom
